id,names,addresses,cities,states,zips,phones,dates,years,licences,websites
218990048,"Organic Roots","7243 University Ave","La Mesa","Californialifornia","91942","6194812281","August 14th, 2012",2012,"medical","http://weedmaps.com/dispensaries/natures-leaf-collective-2-2#/details"
967656481,"Central Remedies - South LA","5712 S. Central ave","Los Angeles","Californialifornia","90011","3232319700","August 14th, 2012",2012,"medical","http://weedmaps.com/dispensaries/central-ramdies#/details"
220788451,"Kush Kingdom","24643 Alessandro Blvd","Moreno Valley","Californialifornia","92553","9514130266","March 12th, 2013",2013,"medical","http://weedmaps.com/dispensaries/kush-kingdom-2-6#/details"
248707897,"BONAFIDE COLLECTIVE - Pre ICO","7570 San Fernando Rd.","Burbank","Californialifornia","91352","8183949353","March 12th, 2013",2013,"medical","http://weedmaps.com/dispensaries/bonafide-group-collective#/details"
912550677,"420 Tailor Shop","1241 Third Ave","Chula Vista","California","91911","6193614656","May 10th, 2015",2015,"medical","http://weedmaps.com/dispensaries/420-tailor-shop#/details"
521875939,"VIP MEDS","9612 Dale ave","Spring Valley","Californialifornia","91977","6194199698","January 12th, 2013",2013,"medical","http://weedmaps.com/dispensaries/spring-valley-storefront#/details"
820011554,"LA MART","6001 S Broadway St","Los Angles","Californialifornia","90003","3239206748","September 9th, 2015",2015,"medical","http://weedmaps.com/dispensaries/la-mart#/details"
161749894,"GreenLeaf Collective","1560 South Long Beach Blvd","Compton","Californialifornia","90221","3107103099","May 4th, 2015",2015,"medical","http://weedmaps.com/dispensaries/greenleaf-collective-2#/details"
779432891,"The House of OG's","4406 40th Street","San Diego","Californialifornia","92116","6194319255","May 4th, 2015",2015,"medical","http://weedmaps.com/dispensaries/the-house-of-og-s#/details"
976089038,"OSH","14064 Foothill Blvd","Sylmar","Californialifornia","91342","8184543976","November 4th, 2015",2015,"medical","http://weedmaps.com/dispensaries/one-stop-healers#/details"
734950782,"TOKE CENTRAL","9221 South Central Ave","Los Angeles","Californialifornia","90002","3233135380","October 15th, 2015",2015,"medical","http://weedmaps.com/dispensaries/hope-central#/details"
787368859,"New Age Compassion Care Center","1719 Pacific Coast Highway","Lomita","Californialifornia","90717","3102570011","November 11th, 2014",2014,"medical","http://weedmaps.com/dispensaries/new-age-compassion-care#/details"
519120862,"Tender Green's Patient Group","655 W 7th St","San Pedro","Californialifornia","90731","5622069347","November 11th, 2014",2014,"medical","http://weedmaps.com/dispensaries/south-bays-finest#/details"
861037255,"CCC Pre-ICO","13432 Sherman Way","North Hollywood","Californialifornia","91605","8188211171","December 11th, 2013",2013,"medical","http://weedmaps.com/dispensaries/ccc-3#/details"
972254155,"420 Manchester","420 E Manchester","Inglewood","Californialifornia","90301","3105903192","March 11th, 2015",2015,"medical","http://weedmaps.com/dispensaries/420-manchester#/details"
764218664,"East LA Caregivers","5910 Whittier Blvd","Los Angeles","Californialifornia","90022","3234797833","April 8th, 2015",2015,"medical","http://weedmaps.com/dispensaries/east-la-caregivers-2#/details"
767292015,"Cured Cooperative","7826 N Market St. Suite E","Spokane","Washington","99217","5098082800","May 24th, 2015",2015,"medical","http://weedmaps.com/dispensaries/cured#/details"
